hash,ref_name,version,C++,C/C++ Header,Python,reStructuredText,XML,TypeScript,SVG,Bourne Shell,JSON,YAML,CMake,HTML,Cython,JavaScript,C,Bourne Again Shell,Sass,Java,Assembly,Perl,Markdown,INI,make,Maven,awk,CSS,Ant,Lua,Windows Message File,SWIG,Dockerfile,D,SUM
730bd60d1321feeec1638f9b83f2b462aad17e9a,refs/tags/v0.23,0.23,937698,341016,149685,94709,82364,60270,54027,49839,41188,28557,14590,12082,10812,9111,12704,3525,1929,2912,1073,3187,829,788,1127,136,95,216,65,60,29,26,3,1,1920914
35d84cb4b6da4a1cf12fb1fea3b28541e5fb95c9,refs/tags/v0.23.1,0.23.1,937733,340988,149685,94709,82364,60270,54027,49839,41188,28557,14590,12082,10812,9111,12704,3525,1929,2912,1073,3187,829,788,1127,136,95,216,65,60,29,26,3,1,1920921
a1ab04613b67ac14caf438a272cd5826a835d60f,refs/tags/v0.23.2,0.23.2,937719,340988,149685,94709,82364,60270,54027,49832,41188,28557,14590,12082,10812,9111,12704,3525,1929,2912,1073,3187,829,788,1136,136,95,216,65,60,29,26,3,1,1920909
741eedbec11bbe11fa163fbe1c72af7e178a73cf,refs/tags/v0.24,0.24,939505,341799,149685,94709,82364,60270,54027,50027,41188,28557,14590,12082,10812,9111,12680,3525,1929,2912,1073,3215,829,788,1149,136,95,216,65,60,29,26,3,1,1923723
18f8a58dce49ae562a917775bbb17f57ecdc31fb,refs/tags/v0.24.1,0.24.1,939548,341799,149685,94709,82364,60270,54027,50027,41188,28557,14590,12082,10812,9111,12680,3525,1929,2912,1073,3215,829,788,1149,136,95,216,65,60,29,26,3,1,1923766
9e614c461ca712c43c17961aaffe93b35f310d74,refs/tags/v0.24.2,0.24.2,939725,341857,149685,94709,82364,60270,54027,50027,41188,28557,14590,12082,10812,9111,12680,3525,1929,2912,1073,3215,829,788,1151,136,95,216,65,60,29,26,3,1,1924004
7c9ca21c8d896c7bf87b854c244604bcbe7fc9e8,refs/tags/v0.24.3,0.24.3,939775,341958,149685,94709,82364,60270,54027,50027,41188,28557,14590,12082,10812,9111,12684,3525,1929,2912,1073,3215,829,788,1152,136,95,216,65,60,29,26,3,1,1924160
abecadbd522a269836b6c5c9da85ddccfb3b8e68,refs/tags/v0.25,0.25,960095,356020,154201,94709,82726,60270,54027,50489,41188,28557,14798,12023,10812,9111,13223,3525,1929,2912,1073,3203,829,788,1557,136,95,89,65,60,29,26,3,1,1966745
e8fbc7563bdc1fbb82d35f3c30192f010f45a2df,refs/tags/v0.25.1,0.25.1,960143,356022,154201,94709,82726,60270,54027,50493,41188,28557,14798,12023,10812,9111,13223,3525,1929,2912,1073,3203,829,788,1560,136,95,89,65,60,29,26,3,1,1966802
c64128f757096e22f2f1484d935f8312062e37ab,refs/tags/v0.25.2,0.25.2,960146,356022,154201,94709,82726,60270,54027,50493,41188,28557,14798,12023,10812,9111,13223,3525,1929,2912,1073,3203,829,788,1560,136,95,89,65,60,29,26,3,1,1966805
